"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Pinus","pinaster","35","4","-2.0599176654017","0.162056731556081","-0.00281495062629046","0.0593360517432443","0.894364293268937","-6.69770757235538","0.161239579262614","-0.00280026532995128","0.0598950168186937","0.891381911128352"
"data","Pinus","pinaster","35","5","-0.0105526843210769","0.0267257093514769","-0.00116496160636354","0.265875557186612","0.0450221022344119","-4.74297151050704","0.0274590682522956","-0.00117840463224665","0.263959444144454","0.0555584953649952"
"data","Pinus","pinea","15","1","-5.76206929951495","0.287121551519693","-0.00416770417950367","0.120549514524764","0.91502109041358","-9.96900405378929","0.285733101855487","-0.00416322378905113","0.121618613026725","0.910806274871101"
"data","Pinus","pinea","20","1","-4.70315336056798","0.401436091124118","-0.00722601630513868","0.388883070485821","0.642920580823154","-9.06232604435762","0.401050660359408","-0.0072256685278529","0.390059915838185","0.642455828243438"
"data","Pinus","pinea","25","1","0.437167496751903","-0.0642901327481544","0.00127525102471966","0.0458657472507723","0.871874042834892","-3.95462166453201","-0.065884375504402","0.00130211740577167","0.0446419691679692","0.880481703735337"
"data","Pinus","pinea","25","2","1.80986651234534","-0.210132534068299","0.00371506283990726","0.171686351503616","0.758665487267637","-2.50254762322671","-0.210351973924621","0.00371804064627202","0.170445651045682","0.761816046371336"
"data","Pinus","pinea","30","1","-3.36072779655053","0.192391178966784","-0.00298270790549518","0.11921641496054","0.774047512551774","-8.26680503834545","0.190979647505036","-0.00296079973162946","0.117366059922408","0.77735376229535"
"data","Pinus","sylvestris","15","1","-1.86519839123076","0.0453830593394114","-0.000112751803248586","0.174548448740511","0.724425107180857","-6.49534903869105","0.040768345112312","-4.00730977023321e-05","0.176536991406119","0.71473798837178"
"data","Pinus","sylvestris","20","2","-2.14847138204437","0.151969088606609","-0.00219659094040507","0.0172406673736122","0.99317084705478","-6.60188358137033","0.151653931874081","-0.0021900123170117","0.0182361883179009","0.992367780188495"
"data","Pinus","sylvestris","25","1","-2.55126287095133","0.192333387140045","-0.00290282914751623","0.118700883391052","0.80942882106459","-7.14001926102084","0.191304891754557","-0.00288812803694681","0.118065136033862","0.809151616340389"
"data","Pinus","sylvestris","25","2","0.13459959212931","-0.0451827381243634","0.000886664581720761","0.0925030140943512","0.508359038492243","-4.30331699213676","-0.0489299867409912","0.000960803930499993","0.107972091549897","0.452438339904533"
